"접종일","접종대상자","당일 1차접종자 수","1차접종 누계","1차접종률(%)","당일 2차접종자 수","2차접종 누계","2차접종률(%)"
"2021.08.15","4802523","3875","4149042","86.4","1162","1849485","38.5"
"2021.08.14","4802523","29755","4145096","86.3","39280","1848314","38.5"
"2021.08.13","4788775","43931","4115097","85.9","121688","1808837","37.8"
"2021.08.12","4737032","28270","4070622","85.9","135399","1686971","35.6"
"2021.08.11","4774960","31041","4041944","84.6","35492","1551492","32.5"
"2021.08.10","4419973","48625","4010500","90.7","34387","1515914","34.3"
"2021.08.09","4419959","48625","3961449","89.6","34387","1481476","33.5"
"2021.08.08","4364248","70831","3890343","89.1","35253","1446195","33.1"
"2021.08.07","4356536","6105","3884200","89.2","106","1446093","33.2"
"2021.08.06","4341693","23333","3860574","88.9","8911","1437142","33.1"
"2021.08.05","4321444","41614","3818469","88.4","30152","1406907","32.6"
"2021.08.04","4324428","31027","3787227","87.6","25819","1381042","31.9"
"2021.08.03","4308530","26082","3760901","87.3","23102","1357865","31.5"
"2021.08.02","4308673","35750","3724642","86.4","20557","1337105","31.0"
"2021.08.01","3810055","77877","3646552","95.7","7123","1329967","34.9"
"2021.07.31","4170013","5674","3640808","87.3","68","1329899","31.9"
"2021.07.30","4164203","39795","3600688","86.4","4188","1325451","31.8"
"2021.07.29","4164261","80425","3519568","84.5","13659","1310875","31.5"
"2021.07.28","4137685","60488","3458804","83.6","7742","1302735","31.5"
"2021.07.27","4150036","84052","3372307","81.2","8120","1293099","31.1"
"2021.07.26","4058839","74786","3297521","81.2","9381","1283718","31.6"
"2021.07.25","4065645","125490","3168908","77.9","14631","1268914","31.2"
"2021.07.24","4065545","85","3168820","77.9","19","1268896","31.2"
"2021.07.23","4065798","6610","3162205","77.8","2639","1266249","31.1"
"2021.07.22","4046086","27951","3134191","77.5","10128","1254560","31"
"2021.07.21","3943320","31573","3102494","78.7","8022","1245273","31.6"
"2021.07.20","3939275","31192","3071180","78.0","6008","1237904","31.4"
"2021.07.19","3939611","31212","3039867","77.2","8800","1226600","31.1"
"2021.07.18","3939611","31651","3008122","75.2","9668","1216767","29.8"
"2021.07.17","3955276","118","3000991","76.1","151","1216426","30.8"
"2021.07.16","3950821","8953","2998367","75.8","7397","1203490","30.4"
"2021.07.15","3950821","26086","2972281","75.2","27192","1176298","29.8"
"2021.07.14","3911307","25026","2946540","75.3","20650","1152859","29.5"
"2021.07.13","3726883","25553","2922594","78.4","18514","1130848","30.3"
"2021.07.12","3514797","20140","2902429","82.6","16581","1110216","31.6"
"2021.07.11","3528530","7439","2896204","82.1","13483","1096845","31.1"
"2021.07.10","3537117","66","2896137","81.9","222","1096559","31.0"
"2021.07.09","3538319","3864","2892191","81.7","8264","1083665","30.6"
"2021.07.08","3546224","14064","2877851","81.2","20660","1058784","29.9"
"2021.07.07","3545987","7439","2869885","80.9","13483","1041173","29.4"
"2021.07.06","3551180","6871","2862693","80.6","11909","1025199","28.9"
"2021.07.05","3496816","7703","2854873","81.6","12346","1008177","28.8"
"2021.07.04","3421953","13454","2841244","83","9389","998134","29.2"
"2021.07.03","3476510","0","2841238","81.7","0","997938","28.7"
"2021.07.02","3476385","696","2840470","81.7","4139","989375","28.5"
"2021.07.01","3420685","1588","2838855","83.0","20529","964356","28.2"
"2021.06.30","3475794","1642","2837158","81.6","18865","941358","27.1"
"2021.06.29","3496257","3893","2833050","81.0","22749","914519","26.2"
"2021.06.28","3490157","3321","2829341","81.1","22407","887508","25.4"
"2021.06.27","3484201","3278","2825862","81.0","21853","865395","24.8"
"2021.06.26","3484201","0","2825885","81.0","0","865395","24.8"
"2021.06.25","3484201","2216","2821282","81.0","6655","858697","24.6"
"2021.06.24","3418720","7635","2811191","82.2","22720","835878","24.5"
"2021.06.23","3470953","6581","2802006","80.7","22040","813666","23.4"
"2021.06.22","3466857","6694","2792660","80.6","21120","791467","22.8"
"2021.06.21","3510564","6694","2781609","80.4","21120","770137","21.9"
"2021.06.20","3511095","4973","2774797","79.0","21087","747880","21.3"
"2021.06.19","3511144","66","2774543","79.0","65","747652","21.3"
"2021.06.18","3446554","36213","2732982","79.3","7884","739623","21.5"
"2021.06.17","3430375","90850","2637993","76.9","27755","711572","20.7"
"2021.06.16","3401641","78339","2554809","75.1","25631","685532","20.2"
"2021.06.15","3391964","112311","2437954","71.9","57409","627708","18.5"
"2021.06.14","3371856","122487","2309534","68.5","37687","589320","17.5"
"2021.06.13","3364373","145519","2163259","64.3","52848","535930","15.9"
"2021.06.12","3364288","5702","2157602","64.1","2522","533379","15.9"
"2021.06.11","3353331","82931","2070561","61.7","28724","504526","15.0"
"2021.06.10","3338670","165265","1900981","56.9","55544","448684","13.4"
"2021.06.09","3102614","148732","1746392","56.2","68440","380200","12.3"
